TEST D'EFFET D'AVALANCHE — AES-ENSA
Paramètres : a=2, b=3

Moyenne octets modifiés : 99.64%
Moyenne bits modifiés   : 50.07%

  Bit |   % octets |   % bits
    0 |    100.00% |   51.23%
    1 |    100.00% |   49.11%
    2 |    100.00% |   49.67%
    3 |     99.11% |   48.55%
    4 |     99.11% |   51.23%
    5 |    100.00% |   48.88%
    6 |    100.00% |   51.23%
    7 |    100.00% |   50.67%
    8 |     99.11% |   50.22%
    9 |     99.11% |   50.11%
   10 |     99.11% |   52.23%
   11 |    100.00% |   50.11%
   12 |    100.00% |   48.66%
   13 |     98.21% |   49.55%
   14 |    100.00% |   47.77%
   15 |     98.21% |   51.56%
   16 |     99.11% |   49.55%
   17 |     99.11% |   47.88%
   18 |     99.11% |   46.43%
   19 |    100.00% |   49.78%
   20 |    100.00% |   50.00%
   21 |    100.00% |   46.54%
   22 |    100.00% |   52.01%
   23 |    100.00% |   49.55%
   24 |    100.00% |   52.79%
   25 |    100.00% |   50.78%
   26 |     98.21% |   50.89%
   27 |    100.00% |   46.43%
   28 |     99.11% |   48.33%
   29 |    100.00% |   48.44%
   30 |    100.00% |   50.22%
   31 |    100.00% |   53.12%
   32 |    100.00% |   48.88%
   33 |     99.11% |   48.10%
   34 |    100.00% |   52.12%
   35 |    100.00% |   50.78%
   36 |    100.00% |   51.45%
   37 |     99.11% |   49.89%
   38 |    100.00% |   51.56%
   39 |    100.00% |   50.89%
   40 |    100.00% |   49.11%
   41 |    100.00% |   49.55%
   42 |    100.00% |   51.34%
   43 |     99.11% |   48.77%
   44 |    100.00% |   49.67%
   45 |     99.11% |   53.24%
   46 |    100.00% |   51.23%
   47 |    100.00% |   50.56%
   48 |    100.00% |   50.67%
   49 |    100.00% |   49.55%
   50 |    100.00% |   50.78%
   51 |     99.11% |   50.78%
   52 |    100.00% |   51.79%
   53 |    100.00% |   49.33%
   54 |    100.00% |   48.10%
   55 |     99.11% |   49.33%
   56 |     99.11% |   48.10%
   57 |    100.00% |   49.55%
   58 |     99.11% |   50.00%
   59 |     99.11% |   46.88%
   60 |    100.00% |   51.56%
   61 |    100.00% |   46.43%
   62 |    100.00% |   51.56%
   63 |     99.11% |   49.89%
   64 |     99.11% |   49.44%
   65 |    100.00% |   51.23%
   66 |     99.11% |   51.34%
   67 |    100.00% |   50.33%
   68 |    100.00% |   47.88%
   69 |    100.00% |   48.88%
   70 |    100.00% |   52.12%
   71 |     99.11% |   51.12%
   72 |     98.21% |   48.77%
   73 |    100.00% |   51.67%
   74 |     99.11% |   49.22%
   75 |     99.11% |   52.79%
   76 |    100.00% |   50.33%
   77 |    100.00% |   49.33%
   78 |    100.00% |   50.33%
   79 |    100.00% |   49.22%
   80 |    100.00% |   54.35%
   81 |    100.00% |   50.45%
   82 |     99.11% |   49.67%
   83 |    100.00% |   49.89%
   84 |    100.00% |   50.11%
   85 |    100.00% |   52.46%
   86 |    100.00% |   49.55%
   87 |     99.11% |   50.89%
   88 |     99.11% |   49.89%
   89 |    100.00% |   52.79%
   90 |    100.00% |   49.67%
   91 |     99.11% |   50.22%
   92 |    100.00% |   49.89%
   93 |    100.00% |   51.56%
   94 |     99.11% |   51.45%
   95 |    100.00% |   50.00%
   96 |    100.00% |   51.56%
   97 |     99.11% |   49.67%
   98 |     97.32% |   49.11%
   99 |    100.00% |   50.89%
  100 |    100.00% |   48.77%
  101 |    100.00% |   52.23%
  102 |    100.00% |   49.89%
  103 |    100.00% |   52.01%
  104 |    100.00% |   49.44%
  105 |    100.00% |   49.44%
  106 |     99.11% |   51.12%
  107 |     99.11% |   49.00%
  108 |     99.11% |   49.67%
  109 |    100.00% |   50.67%
  110 |     98.21% |   48.10%
  111 |    100.00% |   49.67%
  112 |    100.00% |   52.12%
  113 |    100.00% |   51.00%
  114 |    100.00% |   45.09%
  115 |    100.00% |   51.56%
  116 |     99.11% |   49.67%
  117 |    100.00% |   50.89%
  118 |     99.11% |   49.67%
  119 |     99.11% |   50.45%
  120 |    100.00% |   48.55%
  121 |    100.00% |   49.00%
  122 |     99.11% |   51.00%
  123 |    100.00% |   49.33%
  124 |    100.00% |   48.10%
  125 |    100.00% |   50.78%
  126 |     99.11% |   48.10%
  127 |    100.00% |   50.22%
